Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
4/15/2016,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, VIERNES, 20, MALDONADO, SIN DATOS, 719585, 6156160 
4/12/2016,, BARON DE RIO BRANCO, CAÍDA, LEVE, MARTES, 9, TREINTA Y TRES, GRAL. ENRIQUE MARTINEZ, 797645, 6321385 
1/29/2016,, MISIONES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 16, MALDONADO, PIRIAPOLIS, 657465, 6141210 
2/12/2016,, AVENIDA FRANKLIN DELANO ROOSEVELT, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 12, MALDONADO, PUNTA DEL ESTE, 688110, 6132380 
3/22/2016,, NO SE INGRESO, DESPISTE, LEVE, MARTES, 15, ROCHA, SIN DATOS, 733780, 6164720 
11/1/2016,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, MARTES, 12, MALDONADO, SIN DATOS, 647000, 6153880 
1/22/2016,, RINCON, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 9, MALDONADO, MALDONADO, 686790, 6135425 
3/4/2016,, GIBRALTAR, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, MALDONADO, PUNTA DEL ESTE, 688105, 6130945 
4/29/2016,, PEREZ DEL PUERTO CASI DIAGONAL ORIBE , COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 22, LAVALLEJA, MINAS, 662185, 6194090 
3/25/2016,, PIEDRAS ENTRE CERRO LARGO Y AVENIDA LAVALLEJA, CAÍDA, LEVE, VIERNES, 5, CERRO LARGO, TUPAMBAE, 709210, 6364530 
9/14/2016,, CALLEJON DE AFE, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 16, CERRO LARGO, MELO, 765715, 6415380 
12/20/2016,, F. MATA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 17, CERRO LARGO, MELO, 766805, 6415025 
1/19/2016,, ORLANDO PEDRAGOSA SIERRA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 0, MALDONADO, PUNTA DEL ESTE, 688390, 6131035 
12/30/2016,, AVENIDA APARICIO SARAVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 10, TREINTA Y TRES, TREINTA Y TRES, 744210, 6320310 
1/22/2016,, LAS PIEDRAS, CAÍDA, SIN LESIONADOS, VIERNES, 18, MALDONADO, PIRIAPOLIS, 657530, 6141305 
6/10/2016,, NO SE INGRESO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, VIERNES, 22, LAVALLEJA, SIN DATOS, 695385, 6219970 
6/24/2016,, ARTURO SANTANA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 13, MALDONADO, MALDONADO, 687550, 6134865 
5/11/2016,, CAMINO LUSSICH, ATROPELLO DE ANIMALES, LEVE, MIÉRCOLES, 20, MALDONADO, CERRO PELADO, 684630, 6137600 
4/29/2016,, CIGUEÑAS Y LUSSICH, CAÍDA, LEVE, VIERNES, 15, MALDONADO, MALDONADO, 685875, 6136060 
8/26/2016,, TUCUMAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 16, CERRO LARGO, MELO, 767245, 6415045 
2/19/2016,, CALLE 26, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, VIERNES, 12, CERRO LARGO, SIN DATOS, 769220, 6413930 
3/4/2016,, DOROTEO NAVARRETE, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 8, CERRO LARGO, MELO, 766890, 6416155 
