Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
10/7/2017,, DIEGO YOUNG, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 13, RIO NEGRO, YOUNG, 441680, 6381615 
3/4/2017,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 17, ARTIGAS, LAS PIEDRAS, 443585, 6653690 
7/22/2017,, SANTIN CARLOS ROSSI, COLISIÓN CON OBSTÁCULO EN CALZADA, GRAVE, SÁBADO, 21, TACUAREMBO, PASO DE LOS TOROS, 544505, 6371200 
2/11/2017,, AVENIDA BLANDENGUES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 16, SALTO, SALTO, 410155, 6527620 
5/13/2017,, CAMINO ACCESO KILOMETRO 2 ESQUINA ACCESO A TACUABE  O , ATROPELLO DE ANIMALES, LEVE, SÁBADO, 1, SALTO, SIN DATOS, 420575, 6561675 
3/4/2017,, DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 0, TACUAREMBO, TACUAREMBO, 596840, 6491145 
3/11/2017,, JOSE BATLLE Y ORDOÑEZ, ATROPELLO DE ANIMALES, LEVE, SÁBADO, 20, TACUAREMBO, TACUAREMBO, 597890, 6488975 
4/1/2017,, REPUBLICA ARGENTINA, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, SÁBADO, 8, TACUAREMBO, TACUAREMBO, 595090, 6490340 
10/7/2017,, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 6, SALTO, SALTO, 408295, 6526640 
9/2/2017,, FLORENCIO SANCHEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 18, ARTIGAS, ARTIGAS, 550375, 6636400 
9/16/2017,, RAMAL 3/30 A LA ALTURA DEL KM. 19.200, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 13, ARTIGAS, SIN DATOS, 456810, 6633980 
3/1/2017,, JOSE RAFFO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 19, SALTO, SALTO, 410260, 6527340 
12/23/2017,, DIECIOCHO DE JULIO, ATROPELLO DE PEATÓN, LEVE, SÁBADO, 20, RIO NEGRO, FRAY BENTOS, 378235, 6334415 
2/25/2017,, MANUEL FREIRE, ATROPELLO DE PEATÓN, GRAVE, SÁBADO, 22, TACUAREMBO, TACUAREMBO, 597795, 6492450 
