Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
7/12/2017,,  CAMINO VENTURA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 23, CANELONES, BARROS BLANCOS, 591130, 6152675 
9/9/2017,, INDEPENDENCIA, CAÍDA, GRAVE, SÁBADO, 19, FLORIDA, FLORIDA, 571870, 6227175 
11/8/2017,, CARMEN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 1, COLONIA, CARMELO, 381085, 6237040 
4/1/2017,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 14, CANELONES, SIN DATOS, 595985, 6148550 
5/30/2017,, BELLA VISTA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 17, SAN JOSE, PLAYA PASCUAL, 550000, 6154845 
10/24/2017,, CLEMENTE FREGEIRO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 9, SORIANO, MERCEDES, 404195, 6319655 
12/23/2017,, NO SE INGRESO, CAÍDA, LEVE, SÁBADO, 9, FLORES, TRINIDAD, 510110, 6289660 
6/3/2017,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, SÁBADO, 14, COLONIA, SIN DATOS, 470215, 6200935 
9/2/2017,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 21, CANELONES, PANDO, 594980, 6158105 
10/21/2017,, HOSPITAL FLORIDA, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, SÁBADO, 21, FLORIDA, FLORIDA, 573005, 6226650 
3/11/2017,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 14, CANELONES, PINAMAR - PINEPARK, 604790, 6151060 
6/24/2017,, RUTA 22 KM 10.500, COLISIÓN ENTRE VEHÍCULOS, FATAL, SÁBADO, 0, COLONIA, SIN DATOS, 428390, 6215265 
11/25/2017,, RUTA 53 KM 120.000, COLISIÓN ENTRE VEHÍCULOS, FATAL, SÁBADO, 23, COLONIA, SIN DATOS, 478650, 6200555 
9/23/2017,, MANUEL FERREIRA ESQ. MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, FATAL, SÁBADO, 14, SORIANO, MERCEDES, 404375, 6320335 
9/16/2017,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 12, COLONIA, JUAN LACAZE, 458905, 6191435 
4/8/2017,, ROGELIO MARTINEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, CANELONES, SIN DATOS, 584405, 6187655 
4/12/2017,, DOCTOR E. PENZA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 21, DURAZNO, DURAZNO, 544375, 6306865 
12/16/2017,, CRISTOBAL COLON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 12, SORIANO, MERCEDES, 404180, 6319755 
11/11/2017,, GENERAL FRUCTUOSO RIVERA, CAÍDA, LEVE, SÁBADO, 7, COLONIA, CARMELO, 380985, 6238175 
2/21/2017,, WILSON FERREIRA ALDUNATE, ATROPELLO DE PEATÓN, LEVE, MARTES, 12, SORIANO, MERCEDES, 403105, 6320370 
9/20/2017,, RIO NEGRO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 23, COLONIA, NUEVA PALMIRA, 369860, 6251470 
4/5/2017,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 16, CANELONES, SIN DATOS, 583895, 6151970 
10/28/2017,, BAY PASS DE RUTAS N°3 Y 11, DESPISTE, LEVE, SÁBADO, 20, SAN JOSE, SAN JOSE DE MAYO, 527110, 6201670 
7/22/2017,, LUIS DREYER, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 0, COLONIA, NUEVA HELVECIA, 478620, 6206080 
1/7/2017,, MALLORCA Y MARTINICA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 14, SAN JOSE, DELTA DEL TIGRE Y VILLAS, 557815, 6152935 
6/24/2017,, SERAFIN RIVAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, SORIANO, MERCEDES, 403235, 6319995 
11/8/2017,, INDEPENDENCIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 14, FLORIDA, FLORIDA, 572500, 6226520 
8/5/2017,, MANUEL DE CASTRO Y CAREAGA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 20, SORIANO, MERCEDES, 404860, 6320840 
5/27/2017,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 18, CANELONES, VILLA CRESPO Y SAN ANDRES, 581055, 6156065 
10/28/2017,, MANUEL FREIRE, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 17, CANELONES, SIN DATOS, 570595, 6156275 
11/18/2017,, JOHN F. KENNEDY --RUTA 22--, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 22, COLONIA, TARARIRAS, 443000, 6208755 
12/6/2017,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 20, COLONIA, CARMELO, 381290, 6238230 
9/16/2017,, DOCTOR NICOLAS CASATROJA, ATROPELLO DE PEATÓN, LEVE, SÁBADO, 12, DURAZNO, DURAZNO, 545985, 6305080 
6/10/2017,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 13, CANELONES, SALINAS, 605765, 6151250 
12/9/2017,, JOSE PEDRO VARELA, CAÍDA, LEVE, SÁBADO, 12, FLORES, TRINIDAD, 510225, 6291270 
4/29/2017,, VEINTIOCHO DE FEBRERO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 8, SORIANO, MERCEDES, 403725, 6320500 
2/11/2017,, APARICIO SARAVIA, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, SÁBADO, 18, FLORES, TRINIDAD, 509480, 6290405 
9/16/2017,, FRANKLIN DELANO ROOSEVELT, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 9, COLONIA, COLONIA DEL SACRAMENTO, 422810, 6185390 
6/3/2017,, CRISTOBAL COLON, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, SÁBADO, 20, SORIANO, MERCEDES, 404015, 6320565 
4/8/2017,, AVENIDA GENERAL JOSE GERVASIO ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 8, CANELONES, SIN DATOS, 572400, 6156990 
